# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   65       2.314259190187e-10       3.510425058245e-14      -4.788284129810e-13       0.000000000000e+00       3.131656038201e-11       3.774239031735e-12      -8.520427305566e-15 
   66       2.344442813038e-10       3.668681985410e-14      -5.295987719332e-13       0.000000000000e+00       3.022450393025e-11       3.658644581861e-12      -8.725720319953e-15 
   67       2.374926593592e-10       3.830207249798e-14      -5.820674408297e-13       0.000000000000e+00       2.918115027991e-11       3.547597105048e-12      -8.881318130047e-15 
   68       2.405708338222e-10       3.994893232645e-14      -6.362199076628e-13       0.000000000000e+00       2.818020880898e-11       3.440404612945e-12      -8.997655261040e-15 
   69       2.436799716719e-10       4.162672472662e-14      -6.920395862746e-13       0.000000000000e+00       2.722094454410e-11       3.337050139538e-12      -9.082310792812e-15 
   70       2.468212634318e-10       4.333486321571e-14      -7.495079523939e-13       0.000000000000e+00       2.630357615618e-11       3.237649388572e-12      -9.142886057537e-15 
   71       2.499954095324e-10       4.507273622466e-14      -8.086045924131e-13       0.000000000000e+00       2.542758497324e-11       3.142252003634e-12      -9.188072819995e-15 
   72       2.532025888248e-10       4.683970757074e-14      -8.693072026209e-13       0.000000000000e+00       2.459167685892e-11       3.050837946015e-12      -9.227694020106e-15 
   73       2.564424270944e-10       4.863511693022e-14      -9.315915884333e-13       0.000000000000e+00       2.379374409106e-11       2.963313872571e-12      -9.272744515458e-15 
   74       2.597139655743e-10       5.045828031096e-14      -9.954316636261e-13       0.000000000000e+00       2.303082724016e-11       2.879509513581e-12      -9.335431823843e-15 
