# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  109       3.933899743504e-10       1.192086177853e-13      -3.825092749647e-12       5.086475781453e-16       8.604818697426e-12       1.275495186635e-12      -6.569309963420e-15 
  110       3.976837964261e-10       1.208995304687e-13      -3.909843829572e-12       5.182324920355e-16       8.397048061699e-12       1.251202659368e-12      -6.522474871680e-15 
  111       4.019983513532e-10       1.225529084355e-13      -3.993955363654e-12       5.279210925308e-16       8.196050494045e-12       1.227623037581e-12      -6.489221761371e-15 
  112       4.063328119906e-10       1.241670891152e-13      -4.077363365763e-12       5.377140359271e-16       8.001528580850e-12       1.204715637860e-12      -6.465587359165e-15 
  113       4.106862168081e-10       1.257404226075e-13      -4.160004001449e-12       5.476119885241e-16       7.813122538749e-12       1.182432074270e-12      -6.447277394290e-15 
  114       4.150574656004e-10       1.272712728028e-13      -4.241813629897e-12       5.576156266403e-16       7.630408436820e-12       1.160716040215e-12      -6.429658878964e-15 
  115       4.194453152017e-10       1.287580185037e-13      -4.322728845871e-12       5.677256366274e-16       7.452896418783e-12       1.139503090318e-12      -6.407752388823e-15 
  116       4.238485496063e-10       1.301990825736e-13      -4.402684973166e-12       5.779427160168e-16       7.280138105665e-12       1.118735405056e-12      -6.377249080670e-15 
  117       4.282665229573e-10       1.315930210087e-13      -4.481611247454e-12       5.882675770860e-16       7.112067418753e-12       1.098408587517e-12      -6.337718527930e-15 
  118       4.326986748349e-10       1.329384468507e-13      -4.559435123808e-12       5.987009437550e-16       6.948698048719e-12       1.078530173120e-12      -6.289778216724e-15 
  119       4.371443590433e-10       1.342340044826e-13      -4.636083800759e-12       6.092435505181e-16       6.790017179280e-12       1.059105071211e-12      -6.234105032185e-15 
  120       4.416028408676e-10       1.354783709968e-13      -4.711484248547e-12       6.198961424682e-16       6.635984674745e-12       1.040135479409e-12      -6.171436599341e-15 
